Notification Date,Region,Client Name,Client Address 1,Client Address 2,Client Address 3,Client City,Client Province,Client Postal Code,Client Contact Name,Client Contact Phone,Jursidiction Code,Application Number,Species Enduse,Product Type,Product Location,Exemption Application Volume,Average Log Volume,Agent Name,Agent Phone,Agent Contact Name,Package Number,Package Volume,Age Class,Average Length,Average Diameter
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174004,BA / HE / Sawlog,Harvested Timber,HS AVALON c/o Active Marine,674.3,1.5,,,,AVA16-939,674.3,S,10.8,18
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174005,HE / Chip and Saw,Harvested Timber,HS AVALON c/o Active Marine,362.8,0.4,,,,AVA16-949,362.8,S,9.9,8.7
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174006,BA / HE / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,1364,1.8,,,,AABI-16-09,1364,S,11.3,19.6
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174007,SP / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,613.7,1.8,,,,AABI-16-11,613.7,S,11,20.1
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174008,SP / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,379.2,4,,,,AABI-16-14,379.2,S,10.9,30.9
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174009,BA / HE / Utility,Harvested Timber,HS AVALON c/o Active Marine,435.4,0.5,,,,AVA16-943,435.4,S,6.6,13.5
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174010,BA / HE / Sawlog,Harvested Timber,HS AVALON c/o Active Marine,397,1.4,,,,AVA16-944,397,S,10.8,17.8
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174011,BA / HE / Chip and Saw,Harvested Timber,HS AVALON c/o Active Marine,207.2,0.4,,,,AVA16-945,207.2,S,9.9,8.8
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174012,SP / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,564.6,4,,,,AABI-16*10,564.6,S,11.2,31
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174013,SP / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,464.4,1.8,,,,AABI-16-15,464.4,S,11,19.6
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174014,SP / Gang,Harvested Timber,In Transit to Fraser River c/o Harken,1597.9,0.6,,,,AABI-16-16,1597.9,S,10.3,10.9
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174015,HE / Gang,Harvested Timber,In Transit to Fraser River c/o Harken,812.5,0.6,,,,AABI-16-18,812.5,S,10.2,10.6
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174016,FI / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,299.3,1.6,,,,AABI-16-23,299.3,S,9.8,19.9
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174017,FI / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,143.7,2.5,,,,AABI-16-24,143.7,S,10.3,24.7
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174018,HE / Sawlog,Harvested Timber,In Transit to Fraser River c/o Harken,308.4,1.6,,,,AABI-16-25,308.4,S,11.1,18.6
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174019,CO / Sawlog,Harvested Timber,Potato Point - Bute Inlet,1050.3,1.3,,,,BI-16-18,1050.3,S,10,17.2
2016-10-12,South Coast Natural Resource Region,A & A TRADING LTD.,1210 1111 MELVILLE ST,,,VANCOUVER,BC,V6E3V6,Sean Rostamian,6046842107,P,174020,CO / Sawlog,Harvested Timber,Potato Point - Bute Inlet,1051.2,1.4,,,,BI-16-19,1051.2,S,10.7,17
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174021,BA / HE / Gang,Harvested Timber,HS AVALON c/o Active Marine,598.8,0.8,,,,AVA16-940,598.8,S,10.6,12.7
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173930,BA / HE / Gang,Harvested Timber,"In trans to Gabriola via Gowlland, then c/o Jones Marine",161.3,0.5,,,,ITS16-268P-005,161.3,O,7.1,12.6
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173931,BA / HE / Sawlog,Harvested Timber,"In trans to Gabriola via Gowlland, then c/o Jones Marine",285.1,1.2,,,,ITS16-264P-005,285.1,O,8.1,19.5
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173932,FI / Sawlog,Harvested Timber,"transto Fraser River via Gowlland, then c/o Hodder",171.6,1.4,,,,ITS16-135P-007,171.6,S,11.6,17.1
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173933,BA / HE / Sawlog,Harvested Timber,"In trans to Gabriola via Gowlland, then c/o Jones Marine",338.1,1.4,,,,ITS16-229P-017,338.1,O,10.7,18.3
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173934,BA / HE / Gang,Harvested Timber,"In trans to Gabriola via Gowlland, then c/o Jones Marine",358.3,0.8,,,,ITS16-228P-011,358.3,O,10.7,12.9
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,173968,BA / HE / Gang,Harvested Timber,HS AVALON c/o Active Marine,621.3,0.7,,,,AVA16-923,621.3,S,10.4,12.3
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,173969,BA / HE / Sawlog,Harvested Timber,PORT ALBERNI c/o AB Sea Towing,336.2,2.1,,,,ICC16-18,336.2,S,11.8,20.3
2016-10-12,West Coast Natural Resource Region,CANADIAN OVERSEAS LOG & LUMBER LTD.,SUITE 1101 -  409 GRANVILLE ST,,,VANCOUVER,BC,V6C2S6,Roxanne Kotobi,6046820425,P,174023,BA / HE / Sawlog,Harvested Timber,Eve River/ In transit c/o Gowlland towing 250-286-3034,706.6,3.5,,,,CER 16-133,706.6,O,10.5,29.3
2016-10-12,South Coast Natural Resource Region,CANADIAN OVERSEAS LOG & LUMBER LTD.,SUITE 1101 -  409 GRANVILLE ST,,,VANCOUVER,BC,V6C2S6,Roxanne Kotobi,6046820425,P,174024,FI / Sawlog,Harvested Timber,Fraser River c/o Catherwood Towing 604-462-9221Fraser,397.1,2,,,,NCOS 16-168A,397.1,S,10.9,21.3
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174025,BA / HE / Gang,Harvested Timber,HS AVALON c/o Active Marine,572,0.8,,,,AVA16-946,572,S,10.5,12.7
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174026,BA / HE / Utility,Harvested Timber,HS AVALON c/o Active Marine,697.1,1.8,,,,AVA16-947,697.1,S,10.1,20.4
2016-10-12,South Coast Natural Resource Region,CANADIAN OVERSEAS LOG & LUMBER LTD.,SUITE 1101 -  409 GRANVILLE ST,,,VANCOUVER,BC,V6C2S6,Roxanne Kotobi,6046820425,P,174027,BA / Sawlog,Harvested Timber,Fraser River c/o Catherwood Towing 604-462-9221Fraser,213.6,1.7,,,,NCOS 16-181,213.6,S,12,19
2016-10-12,South Coast Natural Resource Region,CANADIAN OVERSEAS LOG & LUMBER LTD.,SUITE 1101 -  409 GRANVILLE ST,,,VANCOUVER,BC,V6C2S6,Roxanne Kotobi,6046820425,P,174028,HE / Sawlog,Harvested Timber,Fraser River c/o Catherwood Towing 604-462-9221Fraser,935.3,1.7,,,,NCOS 16-188,935.3,S,10.5,19.8
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,174035,HE / Sawlog,Harvested Timber,FRASER RIVER,242.2,3.1,,,,BCS-16-3135,242.2,O,9.4,29.5
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,174036,HE / Sawlog,Harvested Timber,FRASER RIVER,1062.1,1.5,,,,HEM-16-3097,1062.1,S,11.2,18.5
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,174037,HE / Chip and Saw,Harvested Timber,ROCKY POINT,944.8,0.3,,,,HEM-16-3098,944.8,S,10.9,7.7
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,174038,FI / Sawlog,Harvested Timber,SHOAL ISLAND,330.2,1.9,,,,SHO-16-1562B,330.2,S,12.3,19.2
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,174039,HE / Gang,Harvested Timber,FRASER RIVER,536.5,0.7,,,,TVS-16-3003,536.5,S,10.4,12.4
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173957,HE / Sawlog,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,32.9,4.7,,,,ITF16-263P-004,32.9,O,9.4,36.1
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173958,BA / Gang,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,19.1,1.1,,,,ITF16-326P-003,19.1,O,12.5,13.4
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173938,BA / HE / Gang,Harvested Timber,ROCKY POINT,962.1,0.8,,,,BCS-16-3131,962.1,S,10.5,13.2
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173939,FI / Sawlog,Harvested Timber,ROCKY POINT,613.3,2,,,,GWL-16-1289B,613.3,S,12.4,19.6
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173940,FI / Sawlog,Harvested Timber,ROCKY POINT,257.1,4.2,,,,GWL-16-1290B,257.1,S,12.5,29
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173941,HE / Gang,Harvested Timber,ROCKY POINT,623.6,0.8,,,,GWL-16-3288,623.6,S,10.7,12.9
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173942,HE / Gang,Harvested Timber,FRASER RIVER,1155.5,0.7,,,,HEM-16-3092,1155.5,S,10,12.6
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173943,HE / Sawlog,Harvested Timber,FRASER RIVER,1304.8,1.3,,,,HEM-16-3095,1304.8,S,9.7,18.3
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173944,HE / Peeler,Harvested Timber,FRASER RIVER,663.7,0.7,,,,HEM-16-3096,663.7,S,10.7,12.8
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173945,FI / Gang,Harvested Timber,ROCKY POINT,8.2,0.8,,,,SHO-16-1563B,8.2,S,10.2,13
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173946,FI / Sawlog,Harvested Timber,ROCKY POINT,313.7,1.7,,,,SHO-16-1566B,313.7,S,12.1,18.5
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173947,HE / Chip and Saw,Harvested Timber,ROCKY POINT,502.3,0.4,,,,SHO-16-3548B,502.3,S,8.5,9.8
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173948,HE / Sawlog,Harvested Timber,ROCKY POINT,944.2,1.4,,,,SHO-16-3552B,944.2,S,10.7,18.2
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173949,BA / Sawlog,Harvested Timber,ROCKY POINT,464.8,1.4,,,,SHO-16-4541B,464.8,S,10.8,18.3
2016-10-12,West Coast Natural Resource Region,TIMBERWEST FOREST COMPANY,9370 SOUTH SHORE ROAD,PO BOX 375,,MESACHIE LAKE,BC,V0R2N0,MEL MCMINN,,P,173950,FI / Sawlog,Harvested Timber,FRASER RIVER,30.4,2.2,,,,TWU-16-1092B,30.4,S,12.6,20.6
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173959,BA / Sawlog,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,31,1.9,,,,ITF16-324P-004,31,O,11.8,20.1
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173960,BA / HE / Gang,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,176.8,0.8,,,,ITF16-268P-005,176.8,O,9.8,13.2
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173961,BA / Sawlog,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,32.8,1.9,,,,ITF16-305P-003,32.8,O,12.1,19.5
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173962,FI / Sawlog,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,526.3,1.7,,,,ITF16-135P-005,526.3,S,11.9,18.8
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173963,BA / HE / Gang,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,107.6,0.6,,,,ITF16-266P-008,107.6,O,10.6,10.6
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173964,BA / HE / Chip and Saw,Harvested Timber,"In trans to Gabriola via Gowlland, then c/o Jones Marine",562.8,0.4,,,,ITS16-210P-010,562.8,S,12,6.9
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173965,BA / HE / Sawlog,Harvested Timber,Port Alberni c/o Pacific Towing 250-723-5602,22.3,2,,,,ITF16-205P-004,22.3,O,12.3,19.8
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173966,AL / Sawlog,Harvested Timber,In transit to Gabriola c/o Jones Marine,14.7,0.6,,,,ITB16-804P-011,14.7,S,10.6,11.9
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,P,173967,MA / Sawlog,Harvested Timber,In transit to Gabriola c/o Jones Marine,76.5,0.6,,,,ITB16-945P-011,76.5,S,10.1,11.2
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,173972,HE / Sawlog,Harvested Timber,Port Alberni c/o AB Sea Towing,158,1.5,,,,ICC16_5,158,S,10.4,18.8
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,173990,HE / Gang,Harvested Timber,Port Alberni c/o AB Sea Towing,201.2,0.7,,,,ICC16_6,201.2,S,10.1,13
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,173991,HE / Sawlog,Harvested Timber,Port Alberni c/o AB Sea Towing,53.7,1.4,,,,ICC16_8,53.7,S,11.3,17.5
2016-10-12,West Coast Natural Resource Region,CANADIAN OVERSEAS LOG & LUMBER LTD.,SUITE 1101 -  409 GRANVILLE ST,,,VANCOUVER,BC,V6C2S6,Roxanne Kotobi,6046820425,P,174029,HE / Gang,Harvested Timber,JORDAN RIVER,867.7,0.8,,,,JAG 16-154,867.7,S,10.7,12.7
2016-10-12,West Coast Natural Resource Region,ISLAND TIMBERLANDS GP LTD.,65 FRONT STREET,4TH FLOOR,,NANAIMO,BC,V9R5H9,Laura Tanaka,2507553515,F,8055828,FI / Chip and Saw,Harvested Timber,PORT ALBERNI C/O PACIFIC TOWING 250-723-5602,480.8,0.5,,,,ITF16-138-010-R,480.8,S,12.1,9.1
